,Nature mutation,Valeur fonciere,Type de voie,Code postal,Commune,Code departement,Code commune,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Surface terrain,month,year,Prix m2 moyen region,Prix m2 moyen commune,latitude,longitude
621842,Vente,154000.0,ALL,29280.0,PLOUZANE,29,212,0,1.0,Maison,88.0,5.0,1,391.0,8,2019,1539.5439712293175,1769.9863790732372,48.3774359933,-4.59923891903
1739330,Vente,35000.0,RUE,50420.0,TESSY BOCAGE,50,592,1,2.0,Appartement,42.0,2.0,0,0.0,1,2021,1886.427035553776,1085.635923606991,48.9633310504,-1.08464396412
536908,Vente,180000.0,RUE,12450.0,LUC-LA-PRIMAUBE,12,133,0,1.0,Maison,88.0,4.0,1,614.0,11,2019,1272.1763712335726,1878.678106735849,44.3056658484,2.5364516694
1735855,Vente,295000.0,SQ,49300.0,CHOLET,49,99,0,1.0,Maison,132.0,4.0,1,471.0,2,2021,2038.62644903029,2032.9215511403536,47.0454402992,-0.877886189605
568466,Vente,352400.0,AV,17880.0,LES PORTES-EN-RE,17,286,0,1.0,Maison,58.0,3.0,1,399.0,4,2019,2403.49003128563,6750.117327646819,46.2420561008,-1.50055338015
966776,Vente,78000.0,RUE,88190.0,GOLBEY,88,209,0,1.0,Maison,66.0,3.0,1,321.0,10,2019,1107.4869831155854,1269.5428983165584,48.2002428602,6.42545128144
1592604,Vente,3000.0,RUE,16230.0,MANSLE,16,206,0,3.0,Dépendance,0.0,0.0,1,19.0,9,2021,1303.9515197063204,860.0437846898552,45.8790882664,0.173859970412
335478,Vente,295000.0,RUE,69620.0,VAL D'OINGT,69,24,0,1.0,Maison,110.0,4.0,1,457.0,12,2018,3068.867770659194,2334.4020580960228,45.9188737019,4.5787353944
1759301,Vente,49421.0,RUE,56190.0,LA TRINITE SURZUR,56,259,0,1.0,Maison,99.0,5.0,1,404.0,6,2021,2353.1240653771283,2231.018765443208,47.6047054617,-2.59227223671
66977,Vente,295000.0,RUE,17137.0,MARSILLY,17,222,0,1.0,Maison,102.0,6.0,1,359.0,4,2018,2297.994837711253,2543.112672495156,46.2279815939,-1.13416579432
1203472,Vente,170150.0,RUE,35440.0,GUIPEL,35,128,0,1.0,Maison,82.0,4.0,1,341.0,2,2020,2386.624782243987,2066.791573567753,48.2923904516,-1.72349623823
777234,Vente,175560.0,RUE,56590.0,GROIX,56,69,0,1.0,Maison,70.0,3.0,1,58.0,1,2019,2002.9306796341132,3103.678836190521,47.6372394221,-3.4644268016
471293,Vente,120000.0,RES,95130.0,FRANCONVILLE LA GARENNE,95,252,3,2.0,Appartement,42.0,2.0,0,0.0,7,2018,3200.7725458610776,2953.5076243266803,48.9884161105,2.2238932062
962219,Vente,87000.0,RUE,86260.0,ANGLES-SUR-L ANGLIN,86,4,0,1.0,Maison,80.0,4.0,1,841.0,6,2019,1366.1026561844676,666.0915177404539,46.6986976,0.896253717569
1845018,Vente,95000.0,RUE,74480.0,PASSY,74,208,0,1.0,Maison,25.0,1.0,1,66.0,7,2021,3820.410404412404,3308.321384059039,45.9545838758,6.74056895873
764521,Vente,105000.0,RUE,53390.0,SAINT-AIGNAN-SUR-ROE,53,197,0,1.0,Maison,140.0,5.0,1,538.0,7,2019,1240.9938746150815,774.2791637166152,47.8498132435,-1.14052509792
553328,Vente,370000.0,CHE,13740.0,LE ROVE,13,88,0,1.0,Maison,99.0,4.0,1,158.0,10,2019,2905.757008219019,4129.296243295661,43.3653374562,5.25292240431
1322100,Vente,220000.0,RUE,59119.0,WAZIERS,59,654,0,1.0,Maison,163.0,6.0,1,887.0,1,2020,1968.1048385144584,1116.8134979076206,50.3842186333,3.11188476067
1456947,Vente,113510.0,AV,84000.0,AVIGNON,84,7,2,2.0,Appartement,67.0,4.0,0,0.0,12,2020,2336.894869367258,2330.579212390888,43.9352448339,4.84071572505
685634,Vente,11000.0,RUE,36230.0,NEUVY-SAINT-SEPULCHRE,36,141,0,3.0,Dépendance,0.0,0.0,1,280.0,9,2019,953.3869011525554,671.8516331954232,46.5924338706,1.81276111894
1899373,Vente,368000.0,IMP,85800.0,SAINT-GILLES-CROIX-DE-VIE,85,222,0,1.0,Maison,128.0,5.0,1,168.0,6,2021,2419.145243798272,3849.302661432744,46.6904708814,-1.91946363327
1205917,Vente,138000.0,RUE,35300.0,FOUGERES,35,115,2,2.0,Appartement,70.0,3.0,0,0.0,11,2020,2386.624782243987,1557.8399905302824,48.3524697115,-1.19431177241
182582,Vente,230000.0,RTE,38250.0,VILLARD-DE-LANS,38,548,1,2.0,Appartement,66.0,3.0,0,0.0,10,2018,2176.092263880033,2596.312693234468,45.0600847837,5.54420891959
618909,Vente,120000.0,RUE,29390.0,SCAER,29,274,0,1.0,Maison,70.0,2.0,1,622.0,1,2019,1539.5439712293175,1009.8909619743253,48.0279903072,-3.73073835764
1250252,Vente,288535.0,RUE,44330.0,REGRIPPIERE (LA),44,140,0,1.0,Maison,113.0,5.0,1,1000.0,11,2020,2812.51662790784,1969.639096153704,47.1851327192,-1.19445859002
1025945,Vente,350000.0,BD,75011.0,PARIS 11,75,111,2,2.0,Appartement,39.0,2.0,0,0.0,4,2019,9376.98218434705,9633.632034213597,48.8594154976,2.37874106024
